Az#,AzRG,Length,AzTeamCommonMailid1,AzTeamCommonMailid2,AzRegion,AzDestIP,AzResources,AzPortalAccess,AzRemark,Resources required to build solution,Any other resource (Please Specify)
154,KrackHack,9,,,,,,,,,
155,TheWhiteHat,11,,,,,,,,,
156,ACSBuilder,10,,,,,,,,,
157,AzExplorers,11,,,,,,,,,
158,AZExplorer,10,,,,,,,,,
159,SharePointRangers,17,,,,,,,,,
160,Caliber2K,9,,,,,,,,,
161,cloudbees,9,,,,,,,,,
162,GigaByte,8,,,,,,,,,
163,AzureStorm,10,,,,,,,,,
164,Skymates,8,,,,,,,,,
165,InnovationSkyline,17,,,,,,,,,
166,CloudWalkers,12,,,,,,,,,
167,AzureSHACK,10,,,,,,,,,
168,Unicorns,8,,,,,,,,,
169,CloudRunners,12,,,,,,,,,
170,Datainsights,12,,,,,,,,,
171,DreamCatchers,13,,,,,,,,,
172,DeltaCaliber,12,,,,,,,,,
173,DDBSquad,8,,,,,,,,,
174,TeamYNot,8,,,,,,,,,
175,Transformers,12,,,,,,,,,
176,AIMonsters,10,,,,,,,,,
177,NULLBYTE,8,,,,,,,,,
178,OralBI,6,,,,,,,,,
179,SecuritiesMosaic,16,,,,,,,,,
180,OffTheCuff,10,,,,,,,,,
181,nSearch,7,,,,,,,,,
182,ECLPS,5,,,,,,,,,
183,AutoBots,8,,,,,,,,,
184,Pentagon,8,,,,,,,,,
